stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret,edge_vs_bh
ONGC,STD_R1_BREAKOUT_LONG,14,5,0.3571428571428571,-0.0038854139566041,-0.053712072903905006,-0.1262975778546713,0.0725855049507663
ONGC,STD_S1_BREAKDOWN_SHORT,21,15,0.7142857142857143,0.0016051206793384,0.03368612663477366,-0.1262975778546713,0.15998370448944496
ONGC,FIB_S1_BOUNCE_LONG,41,22,0.5365853658536586,0.0009851688381214,0.040155803598091344,-0.1262975778546713,0.16645338145276264
ONGC,FIB_R1_BOUNCE_SHORT,31,14,0.4516129032258064,0.0001903159065796001,0.005181345338337584,-0.1262975778546713,0.13147892319300888
ONGC,CAM_L3_LONG,40,17,0.425,2.976569557725794e-05,-0.0002733089095633412,-0.1262975778546713,0.12602426894510796
ONGC,CAM_S3_SHORT,41,23,0.5609756097560976,0.0024430635624974003,0.10399024192212059,-0.1262975778546713,0.23028781977679189
ONGC,CAM_R4_BREAKOUT_LONG,13,3,0.2307692307692307,-0.0047942782110888,-0.06101894129290608,-0.1262975778546713,0.06527863656176522
ONGC,CAM_S4_BREAKDOWN_SHORT,20,10,0.5,0.0004086175077061001,0.007682894224535275,-0.1262975778546713,0.13398047207920658
NTPC,STD_S1_BOUNCE_LONG,29,15,0.5172413793103449,-0.0005562552744502999,-0.017045792398675097,-0.0563002680965147,0.0392544756978396
NTPC,STD_R1_BOUNCE_SHORT,28,15,0.5357142857142857,0.0006630949143343001,0.017768831439910926,-0.0563002680965147,0.07406909953642563
NTPC,STD_R1_BREAKOUT_LONG,21,6,0.2857142857142857,-0.0029644539877653,-0.060964103769346134,-0.0563002680965147,-0.0046638356728314345
NTPC,STD_S1_BREAKDOWN_SHORT,23,12,0.5217391304347826,-0.0010747780820578,-0.02514022095495605,-0.0563002680965147,0.03116004714155865
NTPC,FIB_S1_BOUNCE_LONG,34,12,0.3529411764705882,-0.0014181604458576998,-0.04783095613099597,-0.0563002680965147,0.008469311965518728
NTPC,FIB_R1_BOUNCE_SHORT,35,19,0.5428571428571428,0.0018301963099676,0.06527323979355182,-0.0563002680965147,0.12157350789006652
NTPC,CAM_L3_LONG,43,20,0.4651162790697674,0.0002594265936730001,0.009429474894645296,-0.0563002680965147,0.06572974299116
NTPC,CAM_S3_SHORT,46,28,0.6086956521739131,0.0027540942172589,0.13313068123198368,-0.0563002680965147,0.18943094932849838
NTPC,CAM_R4_BREAKOUT_LONG,18,4,0.2222222222222222,-0.0032310172908707,-0.056922940056663984,-0.0563002680965147,-0.0006226719601492847
NTPC,CAM_S4_BREAKDOWN_SHORT,20,8,0.4,-0.0022850977191463,-0.04535348962485486,-0.0563002680965147,0.01094677847165984
POWERGRID,STD_S1_BOUNCE_LONG,25,15,0.6,0.0029373864478215,0.07463945436662534,0.0052539404553415,0.06938551391128384
POWERGRID,STD_R1_BOUNCE_SHORT,29,21,0.7241379310344828,0.0059964687782706,0.1876990081262384,0.0052539404553415,0.1824450676708969
POWERGRID,STD_R1_BREAKOUT_LONG,23,9,0.391304347826087,-0.0046761731858739,-0.1027587233282028,0.0052539404553415,-0.1080126637835443
POWERGRID,STD_S1_BREAKDOWN_SHORT,19,9,0.4736842105263157,-0.0045989601335452,-0.08482396510291268,0.0052539404553415,-0.09007790555825418
POWERGRID,FIB_S1_BOUNCE_LONG,34,17,0.5,0.0005987335295599001,0.019620654858750086,0.0052539404553415,0.014366714403408587
POWERGRID,FIB_R1_BOUNCE_SHORT,39,19,0.4871794871794871,0.0018891543209655001,0.07530436179113975,0.0052539404553415,0.07005042133579825
POWERGRID,CAM_L3_LONG,42,20,0.4761904761904761,0.0018157115456780002,0.07733104312036598,0.0052539404553415,0.07207710266502448
POWERGRID,CAM_S3_SHORT,40,20,0.5,0.0016888245435662,0.06828550409348044,0.0052539404553415,0.06303156363813894
POWERGRID,CAM_R4_BREAKOUT_LONG,17,6,0.3529411764705882,-0.0033376125757192997,-0.055497919982383626,0.0052539404553415,-0.060751860437725125
POWERGRID,CAM_S4_BREAKDOWN_SHORT,18,4,0.2222222222222222,-0.0048328113027972,-0.08400500547680645,0.0052539404553415,-0.08925894593214795
